Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1995","1995","t","565354.43","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1996","1996","t","603004.61","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1997","1997","t","554916.69","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1998","1998","t","578401.49","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1999","1999","t","602435.64","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2000","2000","t","628776.21","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2001","2001","t","687154.14","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2002","2002","t","805274.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2003","2003","t","881149.29","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2004","2004","t","921045.05","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2005","2005","t","910169.49","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2006","2006","t","1019139.84","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2007","2007","t","990583.31","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2008","2008","t","1051509.08","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2009","2009","t","1036347.81","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2010","2010","t","1053050.23","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2011","2011","t","1121869.15","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2012","2012","t","1141773.39","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2013","2013","t","1174379.71","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2014","2014","t","1286167.04","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2015","2015","t","1370761.68","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2016","2016","t","1355353.49","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2017","2017","t","1539169.91","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2018","2018","t","1587448.53","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2019","2019","t","1616302.75","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2020","2020","t","1887089.35","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2021","2021","t","1892453.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2022","2022","t","2036028.87","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2023","2023","t","2077786.53","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1961","1961","t","1609274","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1962","1962","t","1795685","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1963","1963","t","1840826","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1964","1964","t","2045100","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1965","1965","t","1901781","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1966","1966","t","2135404","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1967","1967","t","2392949","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1968","1968","t","2478696","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1969","1969","t","2607873","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1970","1970","t","2821579","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1971","1971","t","2726325","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1972","1972","t","2850643","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1973","1973","t","3081388","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1974","1974","t","3169717","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1975","1975","t","3031477","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1976","1976","t","2960931","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1977","1977","t","2768370","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1978","1978","t","3130173","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1979","1979","t","3148325","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1980","1980","t","3268984","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1981","1981","t","3213358","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1982","1982","t","3375866","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1983","1983","t","3334603","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1984","1984","t","3359003","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1985","1985","t","3324122","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1986","1986","t","3569766","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1987","1987","t","3683319","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1988","1988","t","3832617","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1989","1989","t","4134075","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1990","1990","t","4164069","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1991","1991","t","4579121.25","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1992","1992","t","4487799.37","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1993","1993","t","4241875.92","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1994","1994","t","4606320","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1995","1995","t","4170581.82","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1996","1996","t","4822230.27","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1997","1997","t","4587577.02","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1998","1998","t","4878638.32","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","1999","1999","t","5037412.62","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2000","2000","t","5095404.28","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2001","2001","t","5193371.75","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2002","2002","t","5316907.77","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2003","2003","t","5550911.38","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2004","2004","t","5541032.83","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2005","2005","t","5965638.16","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2006","2006","t","6325462.89","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2007","2007","t","6391103.43","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2008","2008","t","6774378.39","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2009","2009","t","7068832.86","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2010","2010","t","7511058.42","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2011","2011","t","8031820.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2012","2012","t","8590857.65","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2013","2013","t","8923285.76","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2014","2014","t","9270143.65","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2015","2015","t","9402645.4","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2016","2016","t","8879173.3","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2017","2017","t","9551389.01","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2018","2018","t","9614143.06","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2019","2019","t","9940149.99","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2020","2020","t","10530354.52","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2021","2021","t","10054741.63","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2022","2022","t","10541015.67","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01323","Oranges","2023","2023","t","10608631.18","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1961","1961","t","1232000","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1962","1962","t","1243100","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1963","1963","t","1252600","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1964","1964","t","1255636","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1965","1965","t","1276651","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1966","1966","t","1294070","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1967","1967","t","1309041","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1968","1968","t","1306827","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1969","1969","t","1322541","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1970","1970","t","1832237","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1971","1971","t","1848210","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1972","1972","t","1846869","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1973","1973","t","1859504","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1974","1974","t","1873014","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1975","1975","t","1867335","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1976","1976","t","1868999","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1977","1977","t","1860797","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1978","1978","t","1852138","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1979","1979","t","2151050","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1980","1980","t","2163973","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1981","1981","t","2169210","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1982","1982","t","2184660","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1983","1983","t","2394701","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1984","1984","t","2401409","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1985","1985","t","2395008","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1986","1986","t","2408205","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1987","1987","t","2416183","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1988","1988","t","2415819","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1989","1989","t","2497067","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1990","1990","t","2704610.47","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1991","1991","t","3124581.22","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1992","1992","t","3380283.92","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1993","1993","t","3642106.81","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1994","1994","t","3329296.33","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1995","1995","t","3379544.06","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1996","1996","t","3502485.58","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1997","1997","t","3654587.37","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1998","1998","t","3815003.68","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","1999","1999","t","3909381.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2000","2000","t","3912534.85","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2001","2001","t","3934186","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2002","2002","t","3938884.36","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2003","2003","t","3991278.88","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2004","2004","t","4025843.76","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2005","2005","t","4041619.25","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2006","2006","t","4031090.87","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2007","2007","t","4020783.02","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2008","2008","t","4121676.06","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2009","2009","t","4678886.12","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2010","2010","t","4700025.2","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2011","2011","t","4750579.74","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2012","2012","t","4780812.33","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2013","2013","t","4788339.93","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2014","2014","t","4898738.02","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2015","2015","t","5095494.73","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2016","2016","t","5166049.41","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2017","2017","t","5205416.81","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2018","2018","t","5255209.59","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2019","2019","t","5306399.69","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2020","2020","t","5388837.74","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2021","2021","t","5411452.62","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2022","2022","t","5397752.43","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01329","Other citrus fruit, n.e.c.","2023","2023","t","5442859.81","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1961","1961","t","154781","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1962","1962","t","157053","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1963","1963","t","160456","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1964","1964","t","174764","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1965","1965","t","184747","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1966","1966","t","187430","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1967","1967","t","200444","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1968","1968","t","206780","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1969","1969","t","228210","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1970","1970","t","232430","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1971","1971","t","244563","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1972","1972","t","290780","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1973","1973","t","277898","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1974","1974","t","275575","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1975","1975","t","245868","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1976","1976","t","261911","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1977","1977","t","264089","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1978","1978","t","288115","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1979","1979","t","306692","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1980","1980","t","289475","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1981","1981","t","303213","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1982","1982","t","239510","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1983","1983","t","250328","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1984","1984","t","255429","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1985","1985","t","279631","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1986","1986","t","309479","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1987","1987","t","356546","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1988","1988","t","370586","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1989","1989","t","387319","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1990","1990","t","357897","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1991","1991","t","356141.68","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1992","1992","t","334818.09","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1993","1993","t","332307.59","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1994","1994","t","370909.9","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1995","1995","t","352363.1","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01321","Pomelos and grapefruits","1996","1996","t","395975.54","E","Estimated value",""
